parcel_id,city,lot_sqft,zoning
000200040086,Cincinnati,10018.800000000001,510
000200040087,Cincinnati,11412.720000000001,510
000200050005,Cincinnati,10628.64,510
052500210039,Cincinnati,424710.0,417
062000610248,Cincinnati,8015.04,500
050002720088,Cincinnati,10193.04,510
050002720089,Cincinnati,7622.999999999999,500
050002720091,Cincinnati,15115.32,500
050002720092,Cincinnati,11499.84,510
050002720094,Cincinnati,4748.04,510
050002720095,Cincinnati,6708.24,500
050002720096,Cincinnati,21300.84,510
050002720097,Cincinnati,15594.48,510
050002720098,Cincinnati,25221.239999999998,510
050002720100,Cincinnati,8058.599999999999,510
050002720101,Cincinnati,7753.679999999999,510
050002720102,Cincinnati,25134.12,510
050002720160,Cincinnati,14853.960000000001,510
050002720161,Cincinnati,8973.359999999999,501
050002720162,Cincinnati,8145.72,510
062001700482,Cincinnati,46260.72,510
050002720224,Cincinnati,8319.960000000001,510
050002720225,Cincinnati,8319.960000000001,510
062001700485,Cincinnati,37940.76,510
062001700486,Cincinnati,35675.64,510
062001700487,Cincinnati,29272.320000000003,510
062001700012,Cincinnati,44300.52,510
050003320069,Cincinnati,38637.72,510
050003320070,Cincinnati,42383.88,510
050003320071,Cincinnati,83853.0,510
050003320072,Cincinnati,30709.8,510
050003320073,Cincinnati,22694.760000000002,510
050003320074,Cincinnati,24219.36,510
050003320075,Cincinnati,21997.8,510
050003320076,Cincinnati,21997.8,510
050003320077,Cincinnati,34020.36,510
050003320043,Cincinnati,66559.68000000001,510
050003320044,Cincinnati,58893.12,510
050003320048,Cincinnati,3354.12,500
050003320050,Cincinnati,62377.92,510
050003320053,Cincinnati,135253.8,510
050003320054,Cincinnati,47306.16,510
050003320056,Cincinnati,83068.92,510
050003320057,Cincinnati,70828.56,510
062100220012,Cincinnati,25874.64,510
062100220015,Cincinnati,27007.2,510
050003320058,Cincinnati,28009.08,510
050003320059,Cincinnati,31276.079999999998,510
050003320060,Cincinnati,30448.44,510
050003320061,Cincinnati,23696.640000000003,510
050003320062,Cincinnati,20342.52,510
050003320063,Cincinnati,20821.68,510
050003320064,Cincinnati,20952.36,510
050003320065,Cincinnati,23086.800000000003,510
050003320066,Cincinnati,27878.4,510
050003320067,Cincinnati,26745.84,510
050003320068,Cincinnati,75141.0,510
023200020039,Cincinnati,2962.0800000000004,500
023200020040,Cincinnati,3833.2799999999997,500
050003330075,Cincinnati,20298.960000000003,510
050003330076,Cincinnati,84419.28,510
050003330077,Cincinnati,20124.72,510
050003330078,Cincinnati,20560.32,510
050003330079,Cincinnati,23565.960000000003,510
050003330080,Cincinnati,22999.68,510
050003330081,Cincinnati,22999.68,510
050003330082,Cincinnati,22999.68,510
050003330083,Cincinnati,22999.68,510
050003900012,Cincinnati,259617.6,630
000300050163,Cincinnati,16639.920000000002,500
050003900016,Cincinnati,55756.8,630
050003900017,Cincinnati,151327.44,610
004200080037,Cincinnati,11499.84,510
000300050164,Cincinnati,17293.32,510
000300050169,Cincinnati,7797.24,510
052002100024,Cincinnati,18600.12,510
052002160006,Cincinnati,25482.6,510
052002160009,Cincinnati,60461.28,500
052002160003,Cincinnati,27355.68,510
052002160002,Cincinnati,19994.04,510
000200050032,Cincinnati,8189.28,510
050003430146,Cincinnati,15028.199999999999,510
016600030167,Cincinnati,5575.68,510
016600030168,Cincinnati,5140.08,510
016600030169,Cincinnati,5183.639999999999,510
016600030079,Cincinnati,4660.92,510
016600030081,Cincinnati,5575.68,510
016600030004,Cincinnati,11717.640000000001,510
050003330086,Cincinnati,282268.80000000005,660
050003330087,Cincinnati,3049.2000000000003,500
050003330090,Cincinnati,36241.92,510
050003330092,Cincinnati,68911.92,510
050003330093,Cincinnati,6403.32,501
050003330094,Cincinnati,6403.32,501
050003330095,Cincinnati,7927.92,500
050003330097,Cincinnati,13372.92,610
050003330099,Cincinnati,25743.96,510
000300050170,Cincinnati,6664.68,510
000300050171,Cincinnati,9060.48,510
000300050172,Cincinnati,8668.44,510
004200080096,Cincinnati,8842.68,510
